1 USA|MA Team Unlimited
7 USA|MD TechBrick FTC 7
18 USA|NY Techno Chix
22 USA|GA 100 Scholars
25 USA|CA Rock N' Roll Robots
28 USA|NY PolyGnomes
33 USA|VA Enigma
36 USA|CT Wyverns
40 USA|CT HAX Robotics
54 USA|MT Gr3y Matt3r
61 USA|PA OZONE
71 USA|WY Teton Gravity Robotics
92 USA|AR Junior Bomb Squad
110 USA|NJ MFS Foxes
112 USA|GA RoboKnights of the Round Table
116 USA|IL Crazy Eights
118 USA|PA Steel Hornets
121 USA|RI Rhode Rage 
123 USA|NY Vanguard
127 USA|TX The Fighting Pickles
130 USA|CT Blazing Spirts
133 USA|MA Arrows
147 USA|NJ Montclair Momentum
149 USA|RI Hawks
154 USA|RI Renegade
187 USA|OR Phoenix
194 USA|VA ILITE Robotics
201 USA|AZ BroncoBotics
207 USA|NJ Critical Mass
208 USA|SC KC Robotics Team
226 USA|VA OHS 623 FTC Team 1
230 USA|PA Ampere
237 USA|NJ MFS Hawks
247 USA|NJ Reboot
248 USA|NJ Fatal Error
251 USA|NJ Mech-alodons
252 USA|RI Electric Quahogs
265 USA|WI Viking Robotics 
267 USA|OR EMP
273 USA|CT ASD Tech Tigers
288 USA|MO Spare Parts
289 USA|MO Robohawks 289
290 USA|MO Robohawks 290
291 USA|MO Robohawks 291
293 USA|VA Cape Squad
310 USA|NY Stuy Fission
327 USA|SC Caveman with Cloud
329 USA|IL Chicago Squires
342 USA|VA BIONIC BLUE DEVILS
354 USA|VA ILITE Robotics
358 USA|CA The Gaulbots
359 USA|CA WEBB.exe
360 USA|WA The Revolution
365 USA|DE MOE (The Miracle Workerz)
367 USA|IA Pug Life
369 USA|VA OHS 623 FTC Team 2
389 USA|MD The Swarm
391 USA|NJ Mighty Irish
395 USA|DE Robauktics
406 USA|MO Richard's Fine Men
407 USA|MO Sherlock Ohms
408 USA|MO Archimedes' Screwdriver
417 USA|WA S.K.I.D 
450 USA|FL Children of the Swamp
479 USA|NY Stuy Fusion
499 USA|FL NanoFusion
506 USA|FL Pandara
516 USA|FL Gears of Fire
519 USA|VA Epsilon Delta Too
